Source,Target,Type,Id,Label,timeset,Weight
"Вестник",Друзья,Undirected,44,,,1
"Вестник",Кормилица,Undirected,45,,,1
"Вестник",Подруги,Undirected,46,,,1
"Вестник",Прислужницы,Undirected,47,,,1
"Вестник",Слуга,Undirected,48,,,1
"Вестник",Тезей,Undirected,49,,,1
"Друзья",Ипполит,Undirected,50,,,1
"Друзья",Кормилица,Undirected,51,,,1
"Друзья",Подруги,Undirected,52,,,1
"Друзья",Прислужницы,Undirected,53,,,1
"Друзья",Слуга,Undirected,54,,,2
"Друзья",Тезей,Undirected,55,,,1
"Друзья",Федра,Undirected,56,,,1
"Ипполит",Слуга,Undirected,57,,,2
"Ипполит",Федра,Undirected,58,,,2
"Кормилица",Подруги,Undirected,59,,,1
"Кормилица",Прислужницы,Undirected,60,,,2
"Кормилица",Слуга,Undirected,61,,,1
"Кормилица",Тезей,Undirected,62,,,1
"Кормилица",Федра,Undirected,63,,,1
"Подруги",Прислужницы,Undirected,64,,,1
"Подруги",Слуга,Undirected,65,,,1
"Подруги",Тезей,Undirected,66,,,1
"Прислужницы",Слуга,Undirected,67,,,1
"Прислужницы",Тезей,Undirected,68,,,1
"Прислужницы",Федра,Undirected,69,,,1
"Слуга",Тезей,Undirected,70,,,1
"Слуга",Федра,Undirected,71,,,2
